cycle,tfsm,wac,out_valid,out_ready,pixel_valid,ch_done,ch3_5_en,ch_count,win_valid,phase_clear,mac_start,mac_done,out_ch_sel,rom_grp,psum_valid,psum_och,psum_pass,psum_data
86,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,9,0,1,7,0,-6869760177
87,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,10,0,1,8,0,-854823764
88,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,11,0,1,9,0,-968135835
89,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,12,0,1,10,0,280119298
90,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,13,0,1,11,0,-1624691383
91,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,14,0,1,12,0,-4610597365
92,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,15,0,1,13,0,-2134841483
93,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,0,1,15,0,1,14,0,-2945306961
94,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,1,15,0,-2137163369
95,CH02_IMG_IN,IDLE,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0
96,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,10941333504
100,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,5011114534
101,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,4,0,1,2,0,2722031034
102,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,5,0,1,3,0,1755029462
103,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,6,0,1,4,0,653366625
104,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,7,0,1,5,0,-129564301
105,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,8,0,1,6,0,-1280347121
106,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,9,0,1,7,0,-5394631495
107,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,10,0,1,8,0,986430914
108,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,11,0,1,9,0,14035640
109,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,12,0,1,10,0,-625259898
110,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,13,0,1,11,0,-3665422953
111,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,14,0,1,12,0,-1580986100
112,WAIT_MAC_02,WEIGHT_CAL,1,0,0,0,0,0,0,0,0,0,15,0,1,13,0,2593053352
113,WAIT_MAC_02,IDLE,1,0,0,0,0,0,0,0,0,1,15,0,1,14,0,-569896815
