# cycle och pass data
611 10 0 -1120186388
612 11 0 -1556773597
613 12 0 -2546459417
614 13 0 -119024681
615 14 0 -2062236146
616 15 0 997738479
621 0 0 10570727424
622 1 0 552419549
623 2 0 2087348248
624 3 0 1507458396
625 4 0 -835818102
626 5 0 -1637670803
627 6 0 -2437354645
628 7 0 -2714901296
629 8 0 -334966955
630 9 0 -349768051
631 10 0 -775544605
632 11 0 -4692771722
633 12 0 -1600463247
634 13 0 667057456
635 14 0 134088468
636 15 0 2214306193
641 0 0 8706981888
642 1 0 -1807701193
643 2 0 3644975625
644 3 0 1593971851
645 4 0 873702926
646 5 0 168386969
647 6 0 -1695489881
648 7 0 -4171715929
649 8 0 -1579937231
650 9 0 2254184560
651 10 0 -519368840
652 11 0 -1573939733
653 12 0 -2146847686
654 13 0 -195333256
655 14 0 841121416
656 15 0 1555169975
661 0 0 8380448768
662 1 0 468525889
663 2 0 347209037
664 3 0 1910891888
665 4 0 782179850
666 5 0 -542967127
667 6 0 2584347651
668 7 0 -1657862676
669 8 0 -694820501
670 9 0 1563367519
671 10 0 32433231
672 11 0 -1889035405
673 12 0 -957317108
674 13 0 -166694629
675 14 0 -3295615610
676 15 0 1242880166
681 0 0 9296281600
682 1 0 -850619032
683 2 0 -171531432
684 3 0 2102951503
685 4 0 572317566
686 5 0 -461265320
687 6 0 -775664203
688 7 0 -2862923969
689 8 0 114068706
690 9 0 1984502000
691 10 0 -111862739
692 11 0 -831519483
693 12 0 1724864376
694 13 0 875549127
695 14 0 -2818760682
696 15 0 -1955240485
701 0 0 4235853824
702 1 0 215643566
703 2 0 -1530187887
704 3 0 1251763370
705 4 0 -1366500919
706 5 0 -1334691385
707 6 0 -1568828389
708 7 0 595587119
709 8 0 587574922
710 9 0 -151613330
711 10 0 5130313741
712 11 0 2986053328
713 12 0 -1417550075
714 13 0 -1973008810
715 14 0 -66509612
716 15 0 -1160181694
721 0 0 3080650752
722 1 0 1477866281
723 2 0 -1113998121
724 3 0 -1307045453
725 4 0 1208030877
726 5 0 -1660014269
727 6 0 357736314
728 7 0 1605776018
729 8 0 -50087847
730 9 0 -1054841378
731 10 0 3471413112
732 11 0 747226842
733 12 0 -1259173315
734 13 0 2442627230
735 14 0 3584167672
736 15 0 819916309
741 0 0 -476774400
742 1 0 -469743419
743 2 0 -12847193
744 3 0 -2715752915
745 4 0 -2559634209
746 5 0 -322588197
747 6 0 1564356747
748 7 0 -821839797
749 8 0 -3827414606
750 9 0 1439733882
751 10 0 -5336329921
752 11 0 46045647
753 12 0 -346562267
754 13 0 -1790003246
755 14 0 1955542761
756 15 0 1348683719
761 0 0 5529305088
762 1 0 564804591
763 2 0 606474285
764 3 0 -414615415
765 4 0 -2492526285
766 5 0 1896373390
767 6 0 -1265031161
768 7 0 -700255642
769 8 0 -268894851
770 9 0 -1166877810
771 10 0 -2822607035
772 11 0 162083151
773 12 0 2454560709
774 13 0 94390347
775 14 0 -2528528386
776 15 0 -525768364
781 0 0 2152792064
782 1 0 609215888
783 2 0 399841936
784 3 0 1254400815
785 4 0 -2013401735
786 5 0 1613898955
787 6 0 -1021948416
788 7 0 -421692257
789 8 0 -2489420740
790 9 0 853620002
791 10 0 -322949674
792 11 0 439036029
793 12 0 145015153
794 13 0 -2604414753
795 14 0 -295286463
796 15 0 -683798188
801 0 0 3121840128
802 1 0 -48330919
803 2 0 -1946706440
804 3 0 -2193823742
805 4 0 111018697
806 5 0 -1195455311
807 6 0 -30667462
808 7 0 214174156
809 8 0 22916007
810 9 0 673651324
811 10 0 -1586537634
812 11 0 -2780765119
813 12 0 -448815830
814 13 0 1876970258
815 14 0 -1358226387
816 15 0 -2947796008
821 0 0 1071316992
822 1 0 1584655073
823 2 0 -1270924853
824 3 0 751211359
825 4 0 -1999877478
826 5 0 798434040
827 6 0 1587995240
828 7 0 371376492
829 8 0 836657244
830 9 0 -2195793671
831 10 0 -5129854557
832 11 0 1710364388
833 12 0 452192043
834 13 0 -2844322182
835 14 0 -1191373676
836 15 0 2532947167
841 0 0 4881383424
842 1 0 3142392196
843 2 0 1990914241
844 3 0 -300030178
845 4 0 -967815769
846 5 0 611759825
847 6 0 2644258160
848 7 0 -648124925
849 8 0 954091661
850 9 0 2241070225
851 10 0 -49507373
852 11 0 -177452036
853 12 0 58166932
854 13 0 -652514280
855 14 0 -724355895
856 15 0 4143990673
861 0 0 3662413824
862 1 0 3074082396
863 2 0 1757758848
864 3 0 -1120484584
865 4 0 -1514180364
866 5 0 2240806846
867 6 0 -487659787
868 7 0 -4972677344
869 8 0 -1666004069
870 9 0 504606159
871 10 0 -3181930592
872 11 0 -633702249
873 12 0 -286766638
874 13 0 -2257837638
875 14 0 -903982870
876 15 0 -2932239152
881 0 0 1169424384
882 1 0 1379141334
883 2 0 984671844
884 3 0 -5037257514
885 4 0 -3304691076
886 5 0 2599651577
887 6 0 -53550060
888 7 0 -282791806
889 8 0 1762484949
890 9 0 -3124454936
891 10 0 -93709492
892 11 0 1568572064
893 12 0 -934020547
894 13 0 -337122130
895 14 0 -2343625071
896 15 0 -551932674
901 0 0 -1923645440
902 1 0 -142771441
903 2 0 -2335350860
904 3 0 1577477449
905 4 0 -1708905366
906 5 0 -306573916
907 6 0 1200460096
908 7 0 -702777392
909 8 0 -2408239956
910 9 0 1852448467
911 10 0 -3764462657
912 11 0 -4533716448
913 12 0 187273261
914 13 0 2410333250
915 14 0 683288522
916 15 0 -1144971742
921 0 0 -3347644416
922 1 0 -1572764401
923 2 0 1583368009
924 3 0 -2287847192
925 4 0 -150510305
926 5 0 1084170901
927 6 0 -4837728992
928 7 0 1254293333
929 8 0 1297522061
930 9 0 866452167
931 10 0 1713158715
932 11 0 1328101540
933 12 0 927468311
934 13 0 -1167874206
935 14 0 1538000770
936 15 0 607213983
941 0 0 851836928
942 1 0 -3594555998
943 2 0 -3280064616
944 3 0 1120578334
945 4 0 2160772294
946 5 0 -759692867
947 6 0 1398026508
948 7 0 -441004439
949 8 0 -1442967833
950 9 0 1618814541
951 10 0 4289860752
952 11 0 1666203217
953 12 0 2625543398
954 13 0 2471730862
955 14 0 533308729
956 15 0 -1452620371
961 0 0 4459888640
962 1 0 505660227
963 2 0 -1693475840
964 3 0 5822579014
965 4 0 3116966938
966 5 0 -1546648670
967 6 0 -193619745
968 7 0 -3085334190
969 8 0 3190190433
970 9 0 -1962360378
971 10 0 1045626947
972 11 0 554785639
973 12 0 -709193749
974 13 0 207936915
975 14 0 553089962
976 15 0 316847708
981 0 0 5917278208
982 1 0 508107315
983 2 0 1680751302
984 3 0 1716086886
985 4 0 2531608125
986 5 0 -5181428217
987 6 0 1306876276
988 7 0 20814112
989 8 0 292634554
990 9 0 -878648004
991 10 0 1176724047
992 11 0 -2594672513
993 12 0 -1315524072
994 13 0 -1197051447
995 14 0 -62880179
996 15 0 1480008944
1001 0 0 3972169728
1002 1 0 -2386703770
1003 2 0 1511223756
1004 3 0 886184452
1005 4 0 1173216073
1006 5 0 791806874
1007 6 0 399297719
1008 7 0 -761965789
1009 8 0 -1751315455
1010 9 0 1682573254
1011 10 0 2294942375
1012 11 0 2451513438
1013 12 0 -1079028614
1014 13 0 -86107360
1015 14 0 -1314775189
1016 15 0 792673729
1023 0 0 7902167040
1024 1 0 3019297704
1025 2 0 1161105390
1026 3 0 1348501254
1027 4 0 3854412168
1028 5 0 -1397402495
1029 6 0 2556833863
1030 7 0 -2932494671
1031 8 0 371387594
1032 9 0 -654593899
1033 10 0 5183576670
1034 11 0 1630781348
1035 12 0 2061969800
1036 13 0 -872846528
1037 14 0 -1955688254
1038 15 0 -4273629529
1043 0 0 4564647936
1044 1 0 2938722402
1045 2 0 563326076
1046 3 0 -1080148341
1047 4 0 -1665751691
1048 5 0 780644657
1049 6 0 9708759
1050 7 0 -3053259906
1051 8 0 -3391280
1052 9 0 -3203961046
1053 10 0 663244213
1054 11 0 926230188
1055 12 0 1776833599
1056 13 0 -1363516041
1057 14 0 -1912529438
1058 15 0 -898262775
1063 0 0 7101841408
1064 1 0 54256882
1065 2 0 -774939366
1066 3 0 -339959249
1067 4 0 476987528
1068 5 0 -1570816691
1069 6 0 881600040
1070 7 0 -1386277546
1071 8 0 1591377780
1072 9 0 -1505287470
1073 10 0 1972991458
1074 11 0 -49320214
1075 12 0 568292500
1076 13 0 2584172659
1077 14 0 -1492862712
1078 15 0 -1529233905
1083 0 0 7924088832
1084 1 0 471514499
1085 2 0 -2660795035
1086 3 0 3153557548
1087 4 0 1284056917
1088 5 0 -1836888571
