cycle,pos,y,x,och,code,out_ch_done,python,diff
2103,101,7,10,0,0,0,0,0
2103,101,7,10,1,0,0,0,0
2103,101,7,10,2,4269,0,4269,0
2123,102,7,11,0,0,0,0,0
2123,102,7,11,1,1681,0,1681,0
2123,102,7,11,2,463,0,463,0
2143,103,7,12,0,0,0,0,0
2143,103,7,12,1,1681,0,1681,0
2143,103,7,12,2,0,0,0,0
2171,104,8,0,0,0,0,0,0
2171,104,8,0,1,1681,0,1681,0
2171,104,8,0,2,0,0,0,0
2191,105,8,1,0,0,0,0,0
2191,105,8,1,1,1681,0,1681,0
2191,105,8,1,2,0,0,0,0
2211,106,8,2,0,1779,0,1779,0
2211,106,8,2,1,1543,0,1543,0
2211,106,8,2,2,255,0,255,0
2231,107,8,3,0,3213,0,3213,0
2231,107,8,3,1,0,0,0,0
2231,107,8,3,2,4580,0,4580,0
2251,108,8,4,0,1734,0,1734,0
2251,108,8,4,1,0,0,0,0
2251,108,8,4,2,6068,0,6068,0
2271,109,8,5,0,2510,0,2510,0
2271,109,8,5,1,0,0,0,0
2271,109,8,5,2,3302,0,3302,0
2291,110,8,6,0,1328,0,1328,0
2291,110,8,6,1,0,0,0,0
2291,110,8,6,2,5660,0,5660,0
2311,111,8,7,0,3007,0,3007,0
2311,111,8,7,1,0,0,0,0
2311,111,8,7,2,6433,0,6433,0
2331,112,8,8,0,2984,0,2984,0
2331,112,8,8,1,0,0,0,0
2331,112,8,8,2,6963,0,6963,0
2351,113,8,9,0,2768,0,2768,0
2351,113,8,9,1,1332,0,1332,0
2351,113,8,9,2,7255,0,7255,0
2371,114,8,10,0,1402,0,1402,0
2371,114,8,10,1,2095,0,2095,0
2371,114,8,10,2,4357,0,4357,0
2391,115,8,11,0,0,0,0,0
2391,115,8,11,1,1743,0,1743,0
2391,115,8,11,2,360,0,360,0
2411,116,8,12,0,0,0,0,0
2411,116,8,12,1,1681,0,1681,0
2411,116,8,12,2,0,0,0,0
2439,117,9,0,0,0,0,0,0
2439,117,9,0,1,1681,0,1681,0
2439,117,9,0,2,0,0,0,0
2459,118,9,1,0,0,0,0,0
2459,118,9,1,1,1681,0,1681,0
2459,118,9,1,2,0,0,0,0
2479,119,9,2,0,3296,0,3296,0
2479,119,9,2,1,1540,0,1540,0
2479,119,9,2,2,997,0,997,0
2499,120,9,3,0,4085,0,4085,0
2499,120,9,3,1,0,0,0,0
2499,120,9,3,2,5342,0,5342,0
2519,121,9,4,0,1411,0,1411,0
2519,121,9,4,1,0,0,0,0
2519,121,9,4,2,6139,0,6139,0
2539,122,9,5,0,2447,0,2447,0
2539,122,9,5,1,0,0,0,0
2539,122,9,5,2,4098,0,4098,0
2559,123,9,6,0,2880,0,2880,0
2559,123,9,6,1,0,0,0,0
2559,123,9,6,2,6403,0,6403,0
2579,124,9,7,0,2981,0,2981,0
2579,124,9,7,1,0,0,0,0
2579,124,9,7,2,6973,0,6973,0
2599,125,9,8,0,2684,0,2684,0
2599,125,9,8,1,2905,0,2905,0
2599,125,9,8,2,7496,0,7496,0
2619,126,9,9,0,3098,0,3098,0
2619,126,9,9,1,3611,0,3611,0
2619,126,9,9,2,6364,0,6364,0
2639,127,9,10,0,1081,0,1081,0
2639,127,9,10,1,2050,0,2050,0
2639,127,9,10,2,1555,0,1555,0
2659,128,9,11,0,0,0,0,0
2659,128,9,11,1,1702,0,1702,0
2659,128,9,11,2,0,0,0,0
2679,129,9,12,0,0,0,0,0
2679,129,9,12,1,1681,0,1681,0
2679,129,9,12,2,0,0,0,0
2707,130,10,0,0,0,0,0,0
2707,130,10,0,1,1681,0,1681,0
2707,130,10,0,2,0,0,0,0
2727,131,10,1,0,0,0,0,0
2727,131,10,1,1,1720,0,1720,0
2727,131,10,1,2,1,0,1,0
2747,132,10,2,0,2493,0,2493,0
2747,132,10,2,1,3056,0,3056,0
2747,132,10,2,2,1915,0,1915,0
2767,133,10,3,0,7137,0,7137,0
2767,133,10,3,1,4240,0,4240,0
2767,133,10,3,2,4982,0,4982,0
2787,134,10,4,0,6199,0,6199,0
2787,134,10,4,1,0,0,0,0
2787,134,10,4,2,6020,0,6020,0
2807,135,10,5,0,2849,0,2849,0
2807,135,10,5,1,0,0,0,0
2807,135,10,5,2,6415,0,6415,0
2827,136,10,6,0,3032,0,3032,0
2827,136,10,6,1,0,0,0,0
2827,136,10,6,2,7171,0,7171,0
2847,137,10,7,0,2640,0,2640,0
2847,137,10,7,1,3175,0,3175,0
2847,137,10,7,2,7272,0,7272,0
2867,138,10,8,0,2351,0,2351,0
2867,138,10,8,1,3374,0,3374,0
2867,138,10,8,2,6352,0,6352,0
2887,139,10,9,0,1392,0,1392,0
2887,139,10,9,1,2334,0,2334,0
2887,139,10,9,2,1114,0,1114,0
2907,140,10,10,0,0,0,0,0
2907,140,10,10,1,1716,0,1716,0
2907,140,10,10,2,0,0,0,0
2927,141,10,11,0,0,0,0,0
2927,141,10,11,1,1681,0,1681,0
2927,141,10,11,2,0,0,0,0
2947,142,10,12,0,0,0,0,0
2947,142,10,12,1,1681,0,1681,0
2947,142,10,12,2,0,0,0,0
2975,143,11,0,0,0,0,0,0
2975,143,11,0,1,1681,0,1681,0
2975,143,11,0,2,0,0,0,0
2995,144,11,1,0,0,0,0,0
2995,144,11,1,1,1681,0,1681,0
2995,144,11,1,2,0,0,0,0
3015,145,11,2,0,0,0,0,0
3015,145,11,2,1,2641,0,2641,0
3015,145,11,2,2,979,0,979,0
3035,146,11,3,0,5957,0,5957,0
3035,146,11,3,1,5542,0,5542,0
3035,146,11,3,2,4133,0,4133,0
3055,147,11,4,0,7765,0,7765,0
3055,147,11,4,1,6303,0,6303,0
3055,147,11,4,2,6101,0,6101,0
3075,148,11,5,0,6206,0,6206,0
3075,148,11,5,1,5679,0,5679,0
3075,148,11,5,2,6803,0,6803,0
3095,149,11,6,0,5105,0,5105,0
3095,149,11,6,1,5493,0,5493,0
3095,149,11,6,2,7208,0,7208,0
3115,150,11,7,0,3704,0,3704,0
3115,150,11,7,1,4652,0,4652,0
3115,150,11,7,2,6202,0,6202,0
3135,151,11,8,0,2161,0,2161,0
3135,151,11,8,1,3042,0,3042,0
3135,151,11,8,2,1545,0,1545,0
3155,152,11,9,0,0,0,0,0
3155,152,11,9,1,1716,0,1716,0
3155,152,11,9,2,0,0,0,0
3175,153,11,10,0,0,0,0,0
3175,153,11,10,1,1681,0,1681,0
3175,153,11,10,2,0,0,0,0
3195,154,11,11,0,0,0,0,0
3195,154,11,11,1,1681,0,1681,0
3195,154,11,11,2,0,0,0,0
3215,155,11,12,0,0,0,0,0
3215,155,11,12,1,1681,0,1681,0
3215,155,11,12,2,0,0,0,0
3243,156,12,0,0,0,0,0,0
3243,156,12,0,1,1681,0,1681,0
3243,156,12,0,2,0,0,0,0
3263,157,12,1,0,0,0,0,0
3263,157,12,1,1,1681,0,1681,0
3263,157,12,1,2,0,0,0,0
3283,158,12,2,0,0,0,0,0
3283,158,12,2,1,1691,0,1691,0
3283,158,12,2,2,0,0,0,0
3303,159,12,3,0,0,0,0,0
3303,159,12,3,1,2190,0,2190,0
3303,159,12,3,2,488,0,488,0
3323,160,12,4,0,1312,0,1312,0
3323,160,12,4,1,4284,0,4284,0
3323,160,12,4,2,2335,0,2335,0
3343,161,12,5,0,2460,0,2460,0
3343,161,12,5,1,4554,0,4554,0
3343,161,12,5,2,2825,0,2825,0
3363,162,12,6,0,2107,0,2107,0
3363,162,12,6,1,3943,0,3943,0
3363,162,12,6,2,2299,0,2299,0
3383,163,12,7,0,0,0,0,0
3383,163,12,7,1,1945,0,1945,0
3383,163,12,7,2,422,0,422,0
3403,164,12,8,0,0,0,0,0
3403,164,12,8,1,1681,0,1681,0
3403,164,12,8,2,0,0,0,0
3423,165,12,9,0,0,0,0,0
3423,165,12,9,1,1681,0,1681,0
3423,165,12,9,2,0,0,0,0
3443,166,12,10,0,0,0,0,0
3443,166,12,10,1,1681,0,1681,0
3443,166,12,10,2,0,0,0,0
3463,167,12,11,0,0,0,0,0
3463,167,12,11,1,1681,0,1681,0
3463,167,12,11,2,0,0,0,0
3483,168,12,12,0,0,1,0,0
3483,168,12,12,1,1681,1,1681,0
3483,168,12,12,2,0,1,0,0
3511,0,0,0,3,0,0,0,0
3511,0,0,0,4,0,0,0,0
3511,0,0,0,5,15,0,15,0
3531,1,0,1,3,0,0,0,0
3531,1,0,1,4,0,0,0,0
3531,1,0,1,5,15,0,15,0
3551,2,0,2,3,0,0,0,0
3551,2,0,2,4,0,0,0,0
3551,2,0,2,5,15,0,15,0
3571,3,0,3,3,0,0,0,0
3571,3,0,3,4,0,0,0,0
3571,3,0,3,5,15,0,15,0
3591,4,0,4,3,0,0,0,0
3591,4,0,4,4,0,0,0,0
3591,4,0,4,5,15,0,15,0
3611,5,0,5,3,0,0,0,0
3611,5,0,5,4,0,0,0,0
3611,5,0,5,5,15,0,15,0
3631,6,0,6,3,0,0,0,0
3631,6,0,6,4,0,0,0,0
3631,6,0,6,5,248,0,248,0
3651,7,0,7,3,1184,0,1184,0
3651,7,0,7,4,260,0,260,0
3651,7,0,7,5,1199,0,1199,0
3671,8,0,8,3,2357,0,2357,0
3671,8,0,8,4,32,0,32,0
3671,8,0,8,5,815,0,815,0
3691,9,0,9,3,808,0,808,0
3691,9,0,9,4,0,0,0,0
3691,9,0,9,5,22,0,22,0
3711,10,0,10,3,0,0,0,0
3711,10,0,10,4,0,0,0,0
3711,10,0,10,5,15,0,15,0
3731,11,0,11,3,0,0,0,0
3731,11,0,11,4,0,0,0,0
3731,11,0,11,5,15,0,15,0
3751,12,0,12,3,0,0,0,0
3751,12,0,12,4,0,0,0,0
3751,12,0,12,5,15,0,15,0
3779,13,1,0,3,0,0,0,0
3779,13,1,0,4,0,0,0,0
3779,13,1,0,5,15,0,15,0
3799,14,1,1,3,0,0,0,0
3799,14,1,1,4,0,0,0,0
3799,14,1,1,5,15,0,15,0
3819,15,1,2,3,0,0,0,0
3819,15,1,2,4,0,0,0,0
3819,15,1,2,5,15,0,15,0
3839,16,1,3,3,0,0,0,0
3839,16,1,3,4,0,0,0,0
3839,16,1,3,5,15,0,15,0
3859,17,1,4,3,0,0,0,0
3859,17,1,4,4,0,0,0,0
3859,17,1,4,5,15,0,15,0
3879,18,1,5,3,0,0,0,0
3879,18,1,5,4,0,0,0,0
3879,18,1,5,5,503,0,503,0
3899,19,1,6,3,754,0,754,0
3899,19,1,6,4,695,0,695,0
3899,19,1,6,5,3507,0,3507,0
3919,20,1,7,3,2398,0,2398,0
3919,20,1,7,4,2486,0,2486,0
