cycle,fsm,ch_count,mac_start,phase_clear,mac_done,is_ch35,in_valid,in_ready,ch_done,pixel_valid,px_frame,px_pass,px_y,px_x,pixel_in0,pixel_in1,pixel_in2,lb_wr_row,lb_wr_col,win_valid,win_frame,win_pass,win_oy,win_ox,wac,weight_valid,out_ch_sel,rom_grp,mac_s1,mac_s2,mac_valid,mac_frame,mac_pass,mac_pos,mac_och,ch_result0,ch_result1,ch_result2,ob_state,ob_pixel_cnt,ob_och_cnt,sum_valid,sum_frame,sum_pos,sum_och,sum_data,sum_ch_done,fifo_count,out_valid,out_ready,out_frame,out_pos,out_och,out_data,out_ch_done,monitor_err
66,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,1,12,0,0,0,ACCUM_G0,1,12,0,,,,0,0,0,0,0,,,,,,0
67,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,0,0,0,2,4,0,,,,,IDLE,0,0,0,1,1,1,0,0,1,13,0,0,0,ACCUM_G0,1,13,0,,,,0,0,0,0,1,,,,,,0
68,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,4,0,0,0,2,4,0,,,,,IDLE,0,0,0,0,1,1,0,0,1,14,0,0,0,ACCUM_G0,1,14,0,,,,0,0,0,0,0,,,,,,0
69,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,1,0,0,0,2,IDLE,0,0,0,0,0,1,0,0,1,15,0,0,0,ACCUM_G0,1,15,0,,,,0,0,0,0,1,,,,,,0
70,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,0,,,,,,0
71,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,0,,,,,,0
72,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,0,,,,,,0
73,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,0,,,,,,0
74,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,2,0,0,0,0,ACCUM_G0,2,0,0,,,,0,0,0,0,0,,,,,,0
75,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,2,1,0,0,0,ACCUM_G0,2,1,0,,,,0,0,0,0,0,,,,,,0
76,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,2,2,0,0,0,ACCUM_G0,2,2,0,,,,0,0,0,0,0,,,,,,0
77,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,2,3,0,0,0,ACCUM_G0,2,3,0,,,,0,0,0,0,1,,,,,,0
78,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,2,4,0,0,0,ACCUM_G0,2,4,0,,,,0,0,0,0,0,,,,,,0
79,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,2,5,0,0,0,ACCUM_G0,2,5,0,,,,0,0,0,0,1,,,,,,0
80,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,9,0,1,1,1,0,0,2,6,0,0,0,ACCUM_G0,2,6,0,,,,0,0,0,0,1,,,,,,0
81,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,10,0,1,1,1,0,0,2,7,0,0,0,ACCUM_G0,2,7,0,,,,0,0,0,0,0,,,,,,0
82,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,11,0,1,1,1,0,0,2,8,0,0,0,ACCUM_G0,2,8,0,,,,0,0,0,0,0,,,,,,0
83,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,12,0,1,1,1,0,0,2,9,0,0,0,ACCUM_G0,2,9,0,,,,0,0,0,0,0,,,,,,0
84,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,13,0,1,1,1,0,0,2,10,0,0,0,ACCUM_G0,2,10,0,,,,0,0,0,0,0,,,,,,0
85,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,14,0,1,1,1,0,0,2,11,0,0,0,ACCUM_G0,2,11,0,,,,0,0,0,0,0,,,,,,0
86,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,WEIGHT_CAL,1,15,0,1,1,1,0,0,2,12,0,0,0,ACCUM_G0,2,12,0,,,,0,0,0,0,0,,,,,,0
87,WAIT_MAC_02,0,0,0,1,0,1,0,0,0,,,,,0,1,0,2,5,0,,,,,IDLE,0,0,0,1,1,1,0,0,2,13,0,0,0,ACCUM_G0,2,13,0,,,,0,0,0,0,1,,,,,,0
88,CH02_IMG_IN,0,0,0,0,0,1,1,0,1,0,0,2,5,0,1,0,2,5,0,,,,,IDLE,0,0,0,0,1,1,0,0,2,14,0,0,0,ACCUM_G0,2,14,0,,,,0,0,0,0,0,,,,,,0
