# conv_l1_real_A.csv frame 0: final outputs, 6 ch x 26 x 26
# values      : 4056 / 4056
# cycles      : 68 .. 7544
# out_ch_done : 6 values (last pixel of each pass/frame)
# vs Python   : 4055 exact, 1 different

och  0
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y3     15    15    15    15    15    15    15    15    15    15    38   503  1491  3507  4968  3982  1220     0     0     0     9    15    15    15    15    15
  y4     15    15    15    15    15    15    15    15    15    15   154  1510  3270  5365  4930  2726   195     0     0     0     0    15    15    15    15    15
  y5     15    15    15    15    15    15    15    15    20    55   732  3385  4903  5358  3169   691     0     0     0     0     0    15    15    15    15    15
  y6     15    15    15    15    15    15    15    15   123   524  2447  5440  5217  3595  1003     0     0     0     0     0     0    15    15    15    15    15
  y7     15    15    15    15    15    15    15    20   460  1549  4560  6105  4108  1001     0     0     0     0     0     0    15    15    15    15    15    15
  y8     15    15    15    15    15    15    15   172  1610  3637  6035  4516  1175     0     0     0     0     0    15    15    15    15    15    15    15    15
  y9     15    15    15    15    15    15    51   947  3654  5017  5281  2343     0     0     0     0     0     0    16    15    15    15    15    15    15    15
  y10    15    15    15    15    15    24   196  2495  5673  5237  2404     0     0     0     0     0   182   134    43    20    15    15    15    15    15    15
  y11    15    15    15    15    15    75   575  4386  6417  3676     0     0     0     0   120  1135  1642  1005   302    89    16    15    15    15    15    15
  y12    15    15    15    15    15   255  1299  5539  5925  2285     0     0     0   726  2659  2988  3406  1348   202   128    64    36    16    15    15    15
  y13    15    15    15    15    15   583  2166  5972  4873   381     0     0     0  3391  4991  4196  3249   518     0     0     0    87    10    15    15    15
  y14    15    15    15    15    24  1119  3188  5965  3590     0     0     0  2343  5294  4964  2817  1637   480     0     0     0     0     0    15    15    15
  y15    15    15    15    15    53  1857  4011  5772  3161     0     0     0  4211  6040  3898  1599  1485  1386  1065     0     0     0     0    15    15    15
  y16    15    15    15    15   121  2900  4980  4873  2084     0     0  1161  5070  5416  3476  1554  1470  1309   751     0     0     0     0    15    15    15
  y17    15    15    15    24   257  3816  5713  4002   871     0     0  3225  5442  3219  2074  1492  1412   669     0     0     0     0     0    15    15    15
  y18    15    15    15    53   507  4501  5861  3660   226     0     0  4317  4320  1873  1527  1437   940     0     0     0     0     0     0    15    15    15
  y19    15    15    15    90   719  4893  5355  2818     0     0  2387  4455  3092  1595  1311   861     0     0     0     0     0     0     0    15    15    15
  y20    15    15    15    87   692  4555  4746  2142   315   101  3092  3587  1838  1426   682     0     0     0     0     0     0    15    15    15    15    15
  y21    15    15    15    41   338  2999  3909  2874  1809  1285  1689  1657  1305   676     0     0     0     0     0     0    15    15    15    15    15    15
  y22    15    15    15    15   106  1448  2655  3157  1848   486   440   302     0     0     0     0     0     0     0    15    15    15    15    15    15    15
  y23    15    15    15    15    15   309  1036  2584  2486   146     0     0     0     0     0     0     0     0    15    15    15    15    15    15    15    15
  y24    15    15    15    15    15    28   103   655  1547   808     0     0     0     0     0     0    15    15    15    15    15    15    15    15    15    15
  y25    15    15    15    15    15    15    15   118   410   284     0     0     0     0     0     0    15    15    15    15    15    15    15    15    15    15
